epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,226.681,1.14991,1.11233,0.94501,0.1014,0.60138,0.48254,0.49376,0.35721,1.06571,0.8611,0.93254,0.06852,0.00744718,0.00248239,0.00744718,0.00248239,0.0577993,0.0528345,0.00744718,0.00248239
2,310.505,0.96909,0.94359,0.95219,0.03874,0.52153,0.47193,0.46671,0.3439,0.83699,0.70974,0.94089,0.01267,0.0149463,0.00498209,0.0149463,0.00498209,0.0152984,0.0053342,0.0149463,0.00498209
3,387.169,0.9068,0.91001,0.9595,0.01996,0.54349,0.4708,0.46313,0.34309,0.84529,0.70494,0.94265,0.01289,0.0149963,0.00499877,0.0149963,0.00499877,0.0149963,0.00499877,0.0149963,0.00499877
4,464.165,0.90755,0.90946,0.96046,0.0202,0.496,0.44943,0.44357,0.32976,0.84075,0.71326,0.9464,0.01332,0.0149917,0.00499723,0.0149917,0.00499723,0.0149917,0.00499723,0.0149917,0.00499723
5,541.712,0.89913,0.89018,0.96383,0.01944,0.50132,0.43516,0.42352,0.31386,0.87017,0.75025,0.95553,0.01361,0.0149852,0.00499507,0.0149852,0.00499507,0.0149852,0.00499507,0.0149852,0.00499507
6,616.838,0.90643,0.90591,0.9627,0.01989,0.57887,0.46652,0.44104,0.32753,0.85192,0.7193,0.95589,0.01327,0.0149769,0.0049923,0.0149769,0.0049923,0.0149769,0.0049923,0.0149769,0.0049923
7,694.064,0.91601,0.92282,0.96277,0.02077,0.51642,0.44441,0.44064,0.32798,0.84687,0.75559,0.94597,0.01295,0.0149667,0.00498892,0.0149667,0.00498892,0.0149667,0.00498892,0.0149667,0.00498892
8,769.995,0.91294,0.91441,0.96279,0.01998,0.51816,0.44333,0.442,0.3293,0.83784,0.71992,0.94388,0.013,0.0149548,0.00498492,0.0149548,0.00498492,0.0149548,0.00498492,0.0149548,0.00498492
9,836.729,0.91969,0.9307,0.96053,0.0212,0.50332,0.46369,0.45308,0.33443,0.84787,0.72034,0.94763,0.01264,0.0149409,0.00498031,0.0149409,0.00498031,0.0149409,0.00498031,0.0149409,0.00498031
10,901.76,0.91153,0.91375,0.96371,0.02016,0.51416,0.45371,0.44945,0.32783,0.85745,0.73208,0.95067,0.01282,0.0149253,0.00497508,0.0149253,0.00497508,0.0149253,0.00497508,0.0149253,0.00497508
11,967.494,0.91964,0.92962,0.96501,0.02077,0.47757,0.43358,0.4285,0.31467,0.86254,0.72874,0.95832,0.01356,0.0149078,0.00496925,0.0149078,0.00496925,0.0149078,0.00496925,0.0149078,0.00496925
12,1032.38,0.90466,0.90898,0.96202,0.01982,0.51841,0.45747,0.45895,0.33758,0.86149,0.73066,0.95233,0.01345,0.0148884,0.00496281,0.0148884,0.00496281,0.0148884,0.00496281,0.0148884,0.00496281
13,1098.96,0.91193,0.91173,0.96479,0.02035,0.54337,0.47253,0.46273,0.34603,0.83728,0.70506,0.94954,0.01333,0.0148673,0.00495576,0.0148673,0.00495576,0.0148673,0.00495576,0.0148673,0.00495576
14,1173.94,0.89997,0.90708,0.95792,0.01944,0.54721,0.43588,0.45816,0.33626,0.85254,0.72248,0.94878,0.0129,0.0148443,0.00494811,0.0148443,0.00494811,0.0148443,0.00494811,0.0148443,0.00494811
15,1250.38,0.89871,0.89894,0.96281,0.01925,0.54127,0.4493,0.45973,0.33861,0.84583,0.72103,0.94701,0.01258,0.0148196,0.00493985,0.0148196,0.00493985,0.0148196,0.00493985,0.0148196,0.00493985
16,1317.06,0.90045,0.89292,0.96299,0.01905,0.59997,0.46481,0.45499,0.33395,0.86561,0.71879,0.95508,0.0129,0.014793,0.00493099,0.014793,0.00493099,0.014793,0.00493099,0.014793,0.00493099
17,1383.37,0.90918,0.90278,0.95818,0.01921,0.4991,0.44866,0.44164,0.33026,0.84339,0.72815,0.94576,0.01262,0.0147646,0.00492154,0.0147646,0.00492154,0.0147646,0.00492154,0.0147646,0.00492154
18,1449.4,0.90791,0.90914,0.96205,0.01999,0.50283,0.48804,0.47677,0.35375,0.83861,0.70546,0.94384,0.01341,0.0147344,0.00491148,0.0147344,0.00491148,0.0147344,0.00491148,0.0147344,0.00491148
19,1515.08,0.90468,0.90929,0.96238,0.01941,0.51188,0.45363,0.44949,0.33319,0.85096,0.73121,0.94984,0.01236,0.0147025,0.00490083,0.0147025,0.00490083,0.0147025,0.00490083,0.0147025,0.00490083
20,1592.65,0.90596,0.91692,0.96487,0.01986,0.53412,0.46605,0.46566,0.34634,0.83942,0.69949,0.94401,0.01231,0.0146688,0.00488959,0.0146688,0.00488959,0.0146688,0.00488959,0.0146688,0.00488959
21,1659.01,0.89161,0.88168,0.9552,0.01879,0.5322,0.45157,0.46092,0.3406,0.84581,0.70376,0.9495,0.01236,0.0146333,0.00487776,0.0146333,0.00487776,0.0146333,0.00487776,0.0146333,0.00487776
22,1725.09,0.90235,0.89946,0.95628,0.01909,0.50677,0.46299,0.43904,0.32686,0.84041,0.71427,0.9454,0.01215,0.014596,0.00486535,0.014596,0.00486535,0.014596,0.00486535,0.014596,0.00486535
23,1791.79,0.91617,0.91881,0.96183,0.0201,0.52635,0.48694,0.47531,0.35332,0.83085,0.68997,0.94217,0.01239,0.014557,0.00485235,0.014557,0.00485235,0.014557,0.00485235,0.014557,0.00485235
24,1858.25,0.90947,0.90473,0.9578,0.0197,0.54059,0.45967,0.45066,0.33291,0.85265,0.71447,0.95158,0.0125,0.0145163,0.00483877,0.0145163,0.00483877,0.0145163,0.00483877,0.0145163,0.00483877
25,1927.21,0.91037,0.90658,0.96362,0.02018,0.48824,0.47545,0.44543,0.33293,0.83997,0.71562,0.94319,0.01255,0.0144739,0.00482462,0.0144739,0.00482462,0.0144739,0.00482462,0.0144739,0.00482462
26,1996.11,0.90618,0.90291,0.96252,0.01997,0.61985,0.45887,0.46168,0.34083,0.85523,0.7191,0.94911,0.01348,0.0144297,0.00480989,0.0144297,0.00480989,0.0144297,0.00480989,0.0144297,0.00480989
27,2065.46,0.90471,0.91112,0.95659,0.01942,0.51728,0.48112,0.47227,0.34946,0.83868,0.69536,0.94471,0.01238,0.0143838,0.00479459,0.0143838,0.00479459,0.0143838,0.00479459,0.0143838,0.00479459
28,2134.62,0.89832,0.89341,0.95641,0.01978,0.49974,0.48163,0.46136,0.34389,0.83647,0.70816,0.94411,0.0123,0.0143362,0.00477873,0.0143362,0.00477873,0.0143362,0.00477873,0.0143362,0.00477873
29,2203.95,0.90937,0.91791,0.96128,0.02055,0.57554,0.44595,0.47245,0.34971,0.83591,0.71171,0.94298,0.0126,0.0142869,0.00476231,0.0142869,0.00476231,0.0142869,0.00476231,0.0142869,0.00476231
30,2272.37,0.90683,0.90441,0.96299,0.01951,0.53987,0.44292,0.45925,0.34388,0.83737,0.71203,0.9436,0.01245,0.014236,0.00474532,0.014236,0.00474532,0.014236,0.00474532,0.014236,0.00474532
31,2348.09,0.90292,0.90492,0.96616,0.01975,0.52649,0.44712,0.45251,0.33327,0.85482,0.71851,0.95235,0.01269,0.0141834,0.00472779,0.0141834,0.00472779,0.0141834,0.00472779,0.0141834,0.00472779
32,2414.87,0.90801,0.91362,0.96178,0.02083,0.48533,0.50649,0.46181,0.34355,0.84161,0.70965,0.94581,0.01248,0.0141291,0.0047097,0.0141291,0.0047097,0.0141291,0.0047097,0.0141291,0.0047097
33,2481.08,0.90012,0.89301,0.9584,0.01991,0.51311,0.48072,0.46705,0.34747,0.84431,0.71578,0.95048,0.01448,0.0140732,0.00469108,0.0140732,0.00469108,0.0140732,0.00469108,0.0140732,0.00469108
34,2549.61,0.90214,0.88986,0.96563,0.0198,0.66512,0.46065,0.477,0.35533,0.83356,0.70186,0.94184,0.01215,0.0140157,0.00467191,0.0140157,0.00467191,0.0140157,0.00467191,0.0140157,0.00467191
35,2615.77,0.90778,0.90628,0.96053,0.01998,0.57528,0.4533,0.47123,0.34965,0.83975,0.69649,0.94429,0.01228,0.0139566,0.0046522,0.0139566,0.0046522,0.0139566,0.0046522,0.0139566,0.0046522
36,2681.67,0.90247,0.90253,0.95915,0.01943,0.54402,0.47841,0.47068,0.35025,0.8301,0.69188,0.94152,0.01276,0.0138959,0.00463197,0.0138959,0.00463197,0.0138959,0.00463197,0.0138959,0.00463197
37,2750,0.89219,0.88963,0.95982,0.01919,0.5494,0.46142,0.4722,0.3504,0.84224,0.71009,0.94771,0.01252,0.0138336,0.00461121,0.0138336,0.00461121,0.0138336,0.00461121,0.0138336,0.00461121
38,2816.15,0.8998,0.88716,0.96069,0.01927,0.58149,0.46813,0.47916,0.35568,0.82802,0.69558,0.94091,0.01198,0.0137698,0.00458993,0.0137698,0.00458993,0.0137698,0.00458993,0.0137698,0.00458993
39,2884.12,0.91193,0.91151,0.96294,0.02031,0.5655,0.502,0.49223,0.36579,0.8342,0.68789,0.94521,0.01237,0.0137044,0.00456813,0.0137044,0.00456813,0.0137044,0.00456813,0.0137044,0.00456813
