epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,249.057,1.12682,0.23149,0.95111,0.08841,0.52724,0.45619,0.44847,0.31719,0.91449,0.22343,0.94669,0.02439,0.0197183,0.00657277,0.0197183,0.00657277,0.0868545,0.0737089,0.0197183,0.00657277
2,295.259,1.1486,0.22637,0.97136,0.07479,0.44041,0.41984,0.39085,0.27154,0.98614,0.23219,0.95927,0.03262,0.0397179,0.0132393,0.0397179,0.0132393,0.0735207,0.0470421,0.0397179,0.0132393
3,346.92,1.15006,0.2327,0.99432,0.05192,0.36013,0.33335,0.29663,0.20198,1.05825,0.2603,1.00227,0.0438,0.059716,0.0199053,0.059716,0.0199053,0.0601854,0.0203748,0.059716,0.0199053
4,402.442,1.10758,0.23446,1.00434,0.0432,0.42914,0.26322,0.24245,0.17424,0.98211,0.2625,0.98671,0.02541,0.0599947,0.0199982,0.0599947,0.0199982,0.0599947,0.0199982,0.0599947,0.0199982
5,454.92,1.09929,0.23869,0.99976,0.04356,0.34362,0.33104,0.28344,0.19799,0.98597,0.24553,0.98398,0.0274,0.0599905,0.0199968,0.0599905,0.0199968,0.0599905,0.0199968,0.0599905,0.0199968
6,521.954,1.10577,0.24681,1.00224,0.04248,0.34935,0.26634,0.24539,0.17641,0.9971,0.29755,0.98594,0.02878,0.0599852,0.0199951,0.0599852,0.0199951,0.0599852,0.0199951,0.0599852,0.0199951
7,563.274,1.08389,0.2415,0.99353,0.04358,0.36975,0.35685,0.31149,0.21794,0.99734,0.23828,0.97692,0.02253,0.0599787,0.0199929,0.0599787,0.0199929,0.0599787,0.0199929,0.0599787,0.0199929
8,612.67,1.09729,0.24381,0.99031,0.044,0.35206,0.33386,0.28511,0.2052,0.96959,0.23778,0.98032,0.02318,0.059971,0.0199903,0.059971,0.0199903,0.059971,0.0199903,0.059971,0.0199903
9,664.608,1.07645,0.24281,0.9863,0.04157,0.34504,0.36668,0.32728,0.23591,0.9352,0.23487,0.971,0.02141,0.0599621,0.0199874,0.0599621,0.0199874,0.0599621,0.0199874,0.0599621,0.0199874
10,714.315,1.07208,0.24088,0.99738,0.04066,0.37906,0.3591,0.32533,0.23667,0.93493,0.23035,0.96284,0.02153,0.0599521,0.019984,0.0599521,0.019984,0.0599521,0.019984,0.0599521,0.019984
11,771.602,1.06669,0.24008,0.97967,0.04088,0.45198,0.36256,0.30764,0.21234,0.98104,0.24491,0.98018,0.02164,0.0599409,0.0199803,0.0599409,0.0199803,0.0599409,0.0199803,0.0599409,0.0199803
12,810.141,1.0699,0.24248,0.9847,0.04208,0.37745,0.40245,0.35466,0.25438,0.90344,0.2249,0.96035,0.01819,0.0599284,0.0199761,0.0599284,0.0199761,0.0599284,0.0199761,0.0599284,0.0199761
13,872.475,1.06223,0.24293,0.98335,0.04191,0.52045,0.33275,0.32151,0.23231,0.9213,0.24889,0.96144,0.02259,0.0599149,0.0199716,0.0599149,0.0199716,0.0599149,0.0199716,0.0599149,0.0199716
14,924.657,1.07034,0.24414,0.98702,0.04235,0.35091,0.38926,0.34216,0.24335,0.93246,0.23287,0.96426,0.01987,0.0599001,0.0199667,0.0599001,0.0199667,0.0599001,0.0199667,0.0599001,0.0199667
15,971.923,1.05735,0.24069,0.98253,0.04003,0.33463,0.37382,0.30665,0.2195,0.97582,0.23698,0.97646,0.02713,0.0598841,0.0199614,0.0598841,0.0199614,0.0598841,0.0199614,0.0598841,0.0199614
16,1026.12,1.06574,0.24499,0.98496,0.042,0.35319,0.35509,0.30827,0.22469,0.91492,0.23195,0.96107,0.01756,0.059867,0.0199557,0.059867,0.0199557,0.059867,0.0199557,0.059867,0.0199557
17,1074.9,1.07979,0.2471,0.98367,0.04352,0.47921,0.34392,0.30762,0.21598,1.00207,0.23694,0.99115,0.03723,0.0598487,0.0199496,0.0598487,0.0199496,0.0598487,0.0199496,0.0598487,0.0199496
18,1127.93,1.0705,0.24467,0.98709,0.04147,0.38307,0.36223,0.32504,0.23801,0.92229,0.22948,0.96591,0.02168,0.0598292,0.0199431,0.0598292,0.0199431,0.0598292,0.0199431,0.0598292,0.0199431
19,1179.36,1.06028,0.24195,0.97836,0.04144,0.46684,0.39031,0.33785,0.24749,0.92446,0.2227,0.96421,0.02267,0.0598085,0.0199362,0.0598085,0.0199362,0.0598085,0.0199362,0.0598085,0.0199362
